time,open,high,low,close,volume
2022-10-26,10550,10900,10500,10550,437900
2022-10-27,10550,10850,10550,10850,706600
2022-10-28,11000,11150,10750,10750,497000
2022-10-31,10750,11000,10600,10800,478800
2022-11-01,11000,11150,10900,10900,519000
2022-11-02,10950,11150,10900,10900,400100
2022-11-03,10800,11000,10800,10850,344100
2022-11-04,10850,10900,10500,10700,541800
2022-11-07,10600,10700,10100,10100,670300
2022-11-08,10100,10300,10100,10250,544400
2022-11-09,10300,10500,10300,10400,623400
2022-11-10,10500,10500,9760,9760,791900
2022-11-11,10150,10150,9900,9900,382600
2022-11-14,9800,9800,9250,9250,818700
2022-11-15,9000,9250,8610,8610,1483500
2022-11-16,8010,9210,8010,9210,1520100
2022-11-17,9700,9700,9310,9420,551800
2022-11-18,9300,9350,9000,9300,624600
2022-11-21,9310,9500,9310,9350,658300
2022-11-22,9300,9700,9250,9380,634900
2022-11-23,9380,9480,9230,9230,401500
2022-11-24,9200,9230,8970,9220,518500
2022-11-25,9220,9400,9220,9400,559700
2022-11-28,9470,10000,9470,10000,1189900
2022-11-29,10100,10400,10050,10350,965100
2022-11-30,10500,10500,10150,10300,1004400
2022-12-01,10400,10750,10400,10450,1592200
2022-12-02,10450,10700,10200,10650,1004600
2022-12-05,10850,11100,10850,11050,1378700
2022-12-06,11100,11100,10500,10600,1489500
2022-12-07,10400,10750,10300,10550,896800
2022-12-08,10550,11100,10550,11000,1154800
2022-12-09,11000,11750,11000,11750,1538900
2022-12-12,12550,12550,12550,12550,865400
2022-12-13,13400,13400,12500,12900,5427900
2022-12-14,13600,13600,13100,13350,1965700
2022-12-15,13350,14250,13350,14250,4025400
2022-12-16,14650,15200,14300,15100,5134700
2022-12-19,15450,15850,14200,14200,4642600
2022-12-20,14200,15000,13750,14900,3958300
2022-12-21,15400,15400,14100,14250,1480000
2022-12-22,14250,14550,13300,13450,3624600
2022-12-23,13400,13900,13050,13550,1041000
2022-12-26,13550,13600,12650,12650,1944400
2022-12-27,12600,12900,12600,12900,680700
2022-12-27,12900,13500,12900,13500,1847200
2022-12-28,14100,14400,14000,14150,2629800
2022-12-29,14200,14350,13800,13850,1426000
2022-12-30,13950,14250,13850,13900,965800
2023-01-03,13900,14500,13900,14500,1962800
2023-01-04,14500,14700,14100,14200,1638100
2023-01-05,14200,14500,13950,14350,1593500
2023-01-06,14300,14600,14100,14150,1814400
2023-01-09,14450,15100,14450,14900,3636700
2023-01-10,14900,14900,14450,14550,1271300
2023-01-11,14650,15200,14550,14950,3720600
2023-01-12,14950,15050,14600,14900,1456500
2023-01-13,15050,15150,14550,14600,1754100
2023-01-16,14600,14700,14150,14250,2039900
2023-01-17,14450,14500,14200,14500,1877600
2023-01-18,14500,14650,14300,14550,1693400
2023-01-19,14600,15000,14550,14750,1546000
2023-01-27,14700,14700,14200,14250,3626300
2023-01-30,14150,14250,13600,13850,2940000
2023-01-31,13850,14300,13650,14100,1819400
2023-02-01,14100,14250,13350,13450,1940000
2023-02-02,13500,13750,13000,13100,2554300
2023-02-03,12700,12900,12400,12400,3603100
2023-02-06,12100,12350,11950,12150,1433800
2023-02-07,12300,12850,12200,12650,1705900
2023-02-08,12700,12800,12300,12600,772800
2023-02-09,12500,12800,12500,12500,427400
2023-02-10,12500,12500,12000,12100,961100
2023-02-13,12100,12150,11550,11650,1183700
2023-02-14,11600,11850,11600,11800,494300
2023-02-15,11900,12150,11850,12000,840800
2023-02-16,12000,12200,12000,12100,577100
2023-02-17,12100,12250,12000,12100,659900
2023-02-20,12100,12700,12100,12700,1097000
2023-02-21,12850,12850,12550,12600,976600
2023-02-22,12400,12600,12100,12100,1009800
2023-02-23,12100,12350,12000,12350,1266500
2023-02-24,12500,13050,12400,13000,2235100
2023-02-27,12950,12950,12500,12550,897200
2023-02-28,12800,12800,12000,12100,1300900
2023-03-01,12150,12350,12000,12350,649000
2023-03-02,12450,12450,12100,12150,569200
2023-03-03,12400,12400,12000,12000,851800
2023-03-06,12200,12500,12150,12500,935800
2023-03-07,12500,12500,12300,12400,511800
2023-03-08,12300,12450,12150,12450,575400
2023-03-09,13300,13300,13300,13300,1132300
2023-03-10,14200,14200,13700,13950,5235100
2023-03-13,13700,13800,13000,13000,2432200
2023-03-14,13050,13400,12700,13150,1610800
2023-03-15,13400,13650,13150,13500,1777500
2023-03-16,13450,13450,13050,13100,1017000
2023-03-17,13200,13350,13000,13100,789700
2023-03-20,13100,13100,12650,12700,1318100
2023-03-21,12800,12900,12600,12900,913700
2023-03-22,12950,13350,12950,13150,1014700
2023-03-23,13000,13100,12850,12950,407000
2023-03-24,12950,13100,12900,12950,688500
2023-03-27,13000,13250,13000,13150,950100
2023-03-28,13200,13300,12950,12950,1089500
2023-03-29,12950,13200,12800,13050,942500
2023-03-30,13200,13250,12850,12950,1759600
2023-03-31,12950,12950,12750,12850,877000
2023-04-03,12850,13000,12800,12850,1429700
2023-04-04,12850,13500,12850,13100,1282000
2023-04-05,13100,13200,13000,13050,1029900
2023-04-06,13300,13400,13150,13250,2452600
2023-04-07,13200,13200,13050,13100,851000
2023-04-10,13150,13300,13000,13050,1391600
2023-04-11,13100,13250,13000,13200,1152600
2023-04-12,13350,13350,13100,13150,1101400
2023-04-13,12800,12950,12450,12550,4323400
2023-04-14,12500,12650,12200,12250,1408600
2023-04-17,12200,12300,12100,12300,1038600
2023-04-18,12350,12450,12200,12450,544400
2023-04-19,12350,12550,12350,12350,649300
2023-04-20,12300,12450,12250,12250,407900
2023-04-21,12300,12350,12250,12300,445600
2023-04-24,12250,12300,12000,12100,681800
2023-04-25,12100,12300,12000,12050,584100
2023-04-26,12050,12100,11950,12050,518000
2023-04-27,12050,12350,12050,12200,557200
2023-04-28,12200,12300,12100,12150,497300
2023-05-04,12900,12900,12750,12900,1569600
2023-05-05,13100,13350,12700,12700,1631500
2023-05-08,12200,12550,12200,12300,2261500
2023-05-09,12250,12450,12200,12250,678900
2023-05-10,12250,12500,12200,12400,1062300
2023-05-11,12400,12650,12350,12400,835000
2023-05-12,12250,12400,12250,12350,656900
2023-05-15,12650,12650,12400,12400,1052400
2023-05-16,12550,12900,12500,12650,2051000
2023-05-17,12800,12850,12550,12550,968200
2023-05-18,12550,12600,12450,12500,624600
2023-05-19,12600,12600,12400,12450,866200
2023-05-22,12500,12650,12350,12650,910400
2023-05-23,12650,12850,12550,12600,671600
2023-05-24,12600,12700,12500,12500,493900
2023-05-25,12400,12550,12400,12500,571600
2023-05-26,12500,12850,12500,12700,1262700
2023-05-29,12900,13250,12700,13100,2875000
2023-05-30,13100,13250,12950,13100,1776800
2023-05-31,13200,13200,13000,13150,1735200
2023-06-01,13200,13400,13150,13150,1637900
2023-06-02,13250,13300,13100,13200,1219100
2023-06-05,13550,13550,13250,13350,2201000
2023-06-06,13350,13400,13150,13400,1302100
2023-06-07,13500,13500,13300,13400,1931900
2023-06-08,13400,14000,13350,13650,3471400
2023-06-09,13650,13650,13400,13500,1267600
2023-06-12,13600,13600,13300,13450,1153000
2023-06-13,13500,13750,13500,13500,1337100
2023-06-14,13600,13700,13300,13300,1335800
2023-06-15,13300,13350,13200,13200,1175200
2023-06-16,13250,13550,13200,13200,2202800
2023-06-19,13500,13500,13250,13250,899500
2023-06-20,13300,13350,13200,13350,758500
2023-06-21,13350,13400,13250,13350,1054400
2023-06-22,13450,14250,13450,13900,4918300
2023-06-23,13950,14300,13850,14300,3681700
2023-06-26,14650,15000,14400,14550,4370100
2023-06-27,14550,14700,14300,14400,2037700
2023-06-28,14400,14750,14300,14400,1860300
2023-06-29,14500,14600,14150,14150,1757500
2023-06-30,14150,14200,13900,13900,1506900
2023-07-03,13950,14150,13950,14150,1103600
2023-07-04,14150,14600,14150,14450,1924900
2023-07-05,14500,14600,14250,14250,1585000
2023-07-06,13400,13800,13300,13300,8630300
2023-07-07,13100,13250,12850,13200,2621400
2023-07-10,13200,13500,13200,13250,1509100
2023-07-11,13300,13350,13100,13150,2020500
2023-07-12,13000,13200,12650,12700,2067000
2023-07-13,12700,12750,12400,12550,1678200
2023-07-14,12550,13200,12450,13200,2302300
2023-07-17,13200,13250,12950,13000,780400
2023-07-18,13000,13000,12800,12850,597900
2023-07-19,12900,13100,12750,13000,1013100
2023-07-20,13000,13000,12800,12900,431300
2023-07-21,12900,13000,12850,12950,814600
2023-07-24,12950,13050,12900,13000,938900
2023-07-25,13500,13500,12900,13050,846500
2023-07-26,13050,13150,12900,13000,607400
2023-07-27,12900,13000,12800,12950,933500
2023-07-28,12800,12850,12300,12850,1633100
2023-07-31,12500,13050,12500,12900,1363500
2023-08-01,12900,13200,12850,13150,2763300
2023-08-02,13150,13150,12250,12900,928400
2023-08-03,12950,13000,12800,12850,830600
2023-08-04,12850,12950,12600,12900,879300
2023-08-07,12900,13100,12800,12900,967100
2023-08-08,12900,13350,12900,13300,2693300
2023-08-09,13300,14100,13200,13900,3584200
2023-08-10,13900,14000,13500,13550,1221400
2023-08-11,13550,13550,13200,13300,1301600
2023-08-14,13300,13800,13300,13500,1041100
2023-08-15,13500,13650,13400,13450,650200
2023-08-16,13450,13750,13400,13450,1061100
2023-08-17,13450,13450,13150,13200,1087600
2023-08-18,13000,13150,12300,12300,2424300
2023-08-21,12200,12600,12200,12500,883600
2023-08-22,12500,12850,12200,12850,1056500
2023-08-23,12650,12850,12250,12500,521200
2023-08-24,12500,12700,12450,12650,546800
2023-08-25,12300,12650,12150,12550,414500
2023-08-28,12550,13000,12550,12900,728700
2023-08-29,12900,12900,12700,12800,464700
2023-08-30,12950,12950,12700,12850,484900
2023-08-31,12850,13100,12800,13000,706700
2023-09-05,13000,13700,12800,13500,1684700
2023-09-06,13500,13600,13200,13350,625000
2023-09-07,13300,13400,13200,13250,1184000
2023-09-08,13250,13500,13250,13300,872000
2023-09-11,13600,13900,13350,13350,1991300
2023-09-12,13400,13500,12450,13050,2331800
2023-09-13,13200,13250,12800,12900,1204200
2023-09-14,12900,12950,12450,12700,928500
2023-09-15,12700,12850,12550,12850,494200
2023-09-18,12850,12850,12650,12750,337900
2023-09-19,12750,12750,12150,12650,327800
2023-09-20,12600,12850,12600,12750,379400
2023-09-21,12750,12900,12500,12600,595000
2023-09-22,12600,12600,12100,12400,875000
2023-09-25,12400,12650,12100,12100,1020400
